"id":"2","index":1,"startTime":4.84,"endTime":8.01,"text":"接下来我们看看访谈数据的数据库化。"}
"id":"71","index":70,"startTime":476.22,"endTime":479.13,"text":"文献数据也需要数据库化。"}
"id":"72","index":71,"startTime":479.13,"endTime":486.91,"text":"与其他调查数据有些不同的是，文献调查的数据一般情况下原本就来源于数据库，"}
"id":"73","index":72,"startTime":486.91,"endTime":493.76,"text":"无论是数字化的文献，还是非数字化的文献，原本就表现为数据库的形式。"}
"id":"74","index":73,"startTime":493.76,"endTime":499.38,"text":"因此，运用原来数据库的数据，是文献调查数据库的特点。"}
"id":"75","index":74,"startTime":499.38,"endTime":505.32,"text":"即使原来的数据库不是数字化的数据库，也没有关系，数据的格式化、"}
"id":"76","index":75,"startTime":505.32,"endTime":514.19,"text":"结构化的特征是完整的。因此呢，文献数据的数据库化的三个步骤 与其他数据的虽然一致，但内容有些差别。"}
"id":"77","index":76,"startTime":514.19,"endTime":519.205,"text":"编码，指的是文献信息的编码，而不是文献内容的编码，"}
"id":"78","index":77,"startTime":519.205,"endTime":524.22,"text":"文献信息就是编目信息，文献内容就是文献记载的内容。"}
"id":"79","index":78,"startTime":524.22,"endTime":533.23,"text":"录入呢，指的是过录，就是把原来数据库的 文献编目信息和文献内容抄录到研究用的文献"}
"id":"80","index":79,"startTime":533.23,"endTime":541.24,"text":"数据库中去。清理，就是在数据录入 完成以后，对录入的数据进行核查、清理，"}
"id":"81","index":80,"startTime":541.24,"endTime":543.57,"text":"包括完整性检查。"}
"id":"82","index":81,"startTime":543.57,"endTime":549.9,"text":"为了确保同学们已经掌握了文献编目信息，我重复一遍文献的编码。"}
"id":"83","index":82,"startTime":549.9,"endTime":554.91,"text":"文献数据的记录信息的基本变量主要有作者、"}
"id":"84","index":83,"startTime":554.91,"endTime":562.65,"text":"篇名、时间、载体、存放、DOI，或者ISBO，或者ISNN等。"}
"id":"85","index":84,"startTime":562.65,"endTime":567.56,"text":"文献记录的编码可以直接运用文献记录的原始编码，"}
"id":"86","index":85,"startTime":567.56,"endTime":573.17,"text":"一些数据库化的数据，比如jasdo，还支持编码的数据直接导出。"}
"id":"87","index":86,"startTime":573.17,"endTime":581.45,"text":"在文献调查数字领域，也有专门的 数据软件，也是个人化的文献管理软件。"}
"id":"88","index":87,"startTime":581.45,"endTime":589.85,"text":"第一个是用于单机的， 既有PC版，也有mac版，Endnote"}
"id":"89","index":88,"startTime":589.85,"endTime":598.89,"text":"原本这个软件只是用于参考文献管理 与Ms Office的文字处理工具配合，方便客人用于写作。"}
"id":"90","index":89,"startTime":598.89,"endTime":604.99,"text":"经过20多年的发展，这个软件目前已经成为了众多同类软件中"}
"id":"91","index":90,"startTime":604.99,"endTime":612.19,"text":"存在时间最长久的一个，既可以作为文献调查的工具，也可以作为文献存储的工具。"}
"id":"92","index":91,"startTime":612.19,"endTime":621.005,"text":"当然，其最基本的功能——文献引用功能还在， 也是文献引用的工具。我建议同学们从文献调查开始就学会使用"}
"id":"93","index":92,"startTime":621.005,"endTime":630.71,"text":"这种软件，对文献数据的调查、数据库化管理引用 都非常有帮助。Endnote，是最先有PC版，后来才有mac版。"}
"id":"94","index":93,"startTime":630.71,"endTime":637.34,"text":"我要介绍的第二个工具软件，Papers，正好相反，是先有mac版， 后有pc版的。"}
"id":"95","index":94,"startTime":637.34,"endTime":642.495,"text":"Papers是最近几年从mac上兴起的一个工具，与Endnote不同，"}
"id":"96","index":95,"startTime":642.495,"endTime":652.175,"text":"它一开始就是一个数据库化了的工具，集成了多个数据库接口， 可以通过互联网络直接连接到不同的数据库去查询数据。"}
"id":"97","index":96,"startTime":652.175,"endTime":656.7,"text":"世界主要的图书馆，大学图书馆都有接口。"}
"id":"98","index":97,"startTime":656.7,"endTime":665.1,"text":"当然，可以作为文献调查的工具，可以作为 文献数据库的工具，也可以作为文献研读的工具，"}
"id":"99","index":98,"startTime":665.1,"endTime":671.91,"text":"还可以作为文献引用的工具。最后我们要简要地讨论痕迹数据的数据库化。"}
"id":"100","index":99,"startTime":671.91,"endTime":678.59,"text":"大家还记得我们讨论过的Map_Reduce？Map_Reduce的产出相当于问- 卷调查中"}
"id":"101","index":100,"startTime":678.59,"endTime":685.63,"text":"计算机辅助调查的问卷数据,不过呢，与计算机辅助调查的问卷数据不同的是，"}
"id":"102","index":101,"startTime":685.63,"endTime":693.81,"text":"计算机辅助调查的数据，是样本化的数据，也就是 每一个变量的数据，是与样本关联在一起的；"}
"id":"103","index":102,"startTime":693.81,"endTime":703.36,"text":"而痕迹数据，无论是Map-Reduce的产出，还是网页爬取 的数据的整理、清理时的产出，都是基于变量的数据，还没有"}
"id":"104","index":103,"startTime":703.36,"endTime":707.93,"text":"把变量数据串起来，变成基于样本的数据。"}
"id":"105","index":104,"startTime":707.93,"endTime":716.79,"text":"我们知道，样本在变量上的变异是分析工作的 基础，因此呢，数据库化需要做的工作就是把"}
"id":"106","index":105,"startTime":716.79,"endTime":721.27,"text":"变量数据串起来，变成类似于样本数据的数据。"}
"id":"107","index":106,"startTime":721.27,"endTime":727.27,"text":"串起来的方法很多，技术性也很强，基本上依靠脚本来完成。"}
"id":"108","index":107,"startTime":727.27,"endTime":736.93,"text":"如果是对全数据的分析，仍然需要基于分布式并行计算来完成， 这就是大数据的数据库化问题，超出了我们课程范围。"}
"id":"109","index":108,"startTime":736.93,"endTime":745.54,"text":"如果从大数据中抽取数据， 由于无需数据录入，故数据库化只有两个步骤可做。"}
"id":"110","index":109,"startTime":745.54,"endTime":752.515,"text":"编码，通常原有的数据就已经有编码了，这个手续要做的就是要么确认使用原来的编码，"}
"id":"111","index":110,"startTime":752.515,"endTime":759.49,"text":"要么呢，因为特殊的原因，需要重新编码，何去何从，完全取决于计算"}
"id":"112","index":111,"startTime":759.49,"endTime":766.32,"text":"的需要。清理，与其他调查数据的清理不同，这里主要是在"}
"id":"113","index":112,"startTime":766.32,"endTime":774.56,"text":"确认编码以后，确认数据的可计算性，也就是 格式化、结构化在转化中没有发生问题，以及"}
"id":"114","index":113,"startTime":774.56,"endTime":780.42,"text":"是否可以直接运用于分布式并行计算或者单机计算。"}
"id":"115","index":114,"startTime":780.42,"endTime":785.8,"text":"下边我们把这一节的内容做一个小结。数据库化是"}
"id":"116","index":115,"startTime":785.8,"endTime":793.27,"text":"调查数据整理与清理之后的一个产出，也是在进入数据分析之前的最后阶段。"}
"id":"117","index":116,"startTime":793.27,"endTime":799.7,"text":"不同调查数据的数据库化，有不同的方式跟方法，基本的要求是"}
"id":"118","index":117,"startTime":799.7,"endTime":806.13,"text":"通过数据库化，让调查数据格式化、结构化，符合统计分析、计算"}
"id":"119","index":118,"startTime":806.13,"endTime":812.37,"text":"对数据的要求，因此呢，数据库化的目的就是为了便于分析和使用。"}
"id":"120","index":119,"startTime":812.37,"endTime":819.59,"text":"需要提醒的是痕迹数据，如果是大数据，尤其是对全数据或者数据流的分析，"}
"id":"121","index":120,"startTime":819.59,"endTime":824.19,"text":"则需要采用适合分布式并行计算的数据库化方案。"},
